


Gadgets
=======


0x000a1713: aad 0x81; ret 0x465; 
0x00125c54: add dword ptr [edx], 0x62; ret; 
0x00136034: add dword ptr [edx], 0x63; ret; 
0x001449dc: add dword ptr [edx], 0x64; ret; 
0x0012b090: add dword ptr [edx], 0x66; ret; 
0x0013202c: add dword ptr [edx], 0x73; ret; 
0x00060af9: add dword ptr [edx], eax; ret; 
0x00126ebe: add dword ptr [edx], ecx; ret; 
0x000ebaf2: add dword ptr [esi + edi*8], 0x8bffff; ret; 
0x00127c5c: add dword ptr [esi], 0xa; ret; 
0x00142a24: add dword ptr [esp + edi*2], 0xa; ret; 
0x00060c01: add dword ptr [esp - 4], 0; ret; 
0x0013dcd2: add dword ptr [esp], 0xa; ret; 
0x0013def5: add dword ptr ds:[edx], ecx; ret; 
0x0003e73b: add eax, 0x14; ret; 
0x000e88e1: add eax, 0x1c0; ret; 
0x000ead9e: add eax, 0x20; ret; 
0x0005be2d: add eax, 0x21; ret; 
0x00136b98: add eax, 0x2440e43; ret 0xe0a; 
0x0012a540: add eax, 0x2500e43; ret; 
0x00138000: add eax, 0x2580e43; ret 0xe0a; 
0x000d11a9: add eax, 0x2e8; ret; 
0x001303b0: add eax, 0x3480e43; ret 0xa02; 
0x001068ef: add eax, 0x8100004e; ret; 
0x000e57ef: add eax, 0x8100025f; ret; 
0x000d6bef: add eax, 0x8100034b; ret; 
0x000d0fef: add eax, 0x810003a7; ret; 
0x000bf4ef: add eax, 0x810004c2; ret; 
0x000ba3ef: add eax, 0x81000513; ret; 
0x0005c5ef: add eax, 0x81000af1; ret; 
0x00044fef: add eax, 0x81000c67; ret; 
0x000427ef: add eax, 0x81000c8f; ret; 
0x00072367: add eax, 0x89ffffef; ret 0x16e9; 
0x0012f043: add eax, 0xa011d03; ret; 
0x0013924b: add eax, 0xa013503; ret; 
0x00126fe3: add eax, 0xa01bf03; ret; 
0x0012e947: add eax, 0xa026b03; ret; 
0x00143c70: add eax, 0xa028d03; ret; 
0x00127133: add eax, 0xa02a103; ret; 
0x001427b7: add eax, 0xa030503; ret; 
0x0013de0b: add eax, 0xa03a003; ret; 
0x0013d8b7: add eax, 0xa050803; ret; 
0x00126c7f: add eax, 0xa053b03; ret; 
0x0013d83b: add eax, 0xa068003; ret; 
0x000f819e: add eax, 0xc; ret; 
0x0005be26: add eax, 1; ret; 
0x0004e2a4: add eax, 4; ret; 
0x000107da: add eax, dword ptr [eax]; ret 0; 
0x0000b78a: add eax, dword ptr [eax]; ret 1; 
0x00134850: add eax, dword ptr [ebp + 0xc]; ret; 
0x0013bec3: add eax, dword ptr [ebx + 0xa5b0204]; ret; 
0x0013bd63: add eax, dword ptr [ebx + 0xa5d0204]; ret; 
0x0012c2cb: add eax, dword ptr [ebx + 0xa600204]; ret; 
0x0013bdd7: add eax, dword ptr [esi + 0x76058304]; ret; 
0x00060b0e: add eax, ecx; ret; 
0x001259c2: add ebp, dword ptr [ebp + 0xa]; ret; 
0x0004e5c0: add ebp, dword ptr [ecx]; ret 0x4c8b; 
0x001259ea: add ebp, dword ptr [edi + 0xa]; ret; 
0x0014c006: add ebp, dword ptr [esi + 0xa]; ret; 
0x00127be7: add ebx, dword ptr [ebp - 0x3b]; ret; 
0x000abc0a: add ecx, dword ptr [ecx]; ret 0x5189; 
0x0013de0e: add ecx, dword ptr [edx]; ret; 
0x00047e59: add edi, dword ptr [ecx]; ret 0x6472; 
0x0014bd5e: add edi, dword ptr [edx + 0xa]; ret; 
0x0012f2a3: add edi, dword ptr [esi - 0x3b]; ret; 
0x0010a1a4: add edi, esi; ret 0x8080; 
0x0013a2c3: add esi, dword ptr [edi - 0x3b]; ret; 
0x0005d12a: add esp, 0x10; ret; 
0x0005fae1: add esp, 0x14; ret; 
0x0004e621: add esp, 0x1c; ret; 
0x0005fb32: add esp, 0x20; ret; 
0x00035b68: add esp, 0xc; ret; 
0x0004e5d5: add esp, 4; ret; 
0x000cf662: add esp, 8; ret 4; 
0x000ba3e2: add esp, 8; ret; 
0x0012f017: add esp, dword ptr [esi + 0xa]; ret; 
0x000f3cfd: add esp, dword ptr [esi - 0x70]; ret; 
0x000f31bf: and al, 0x29; ret 0xfa83; 
0x000437d1: and al, 0x5b; ret; 
0x000d57b5: and al, 0x83; ret 0x3906; 
0x0005baa4: and al, 0x83; ret 0x8921; 
0x000d8782: and al, 0x83; ret 0xf01; 
0x0006ce39: and al, 0x89; ret 0x24e8; 
0x0005490c: and al, 0x89; ret 0x27e8; 
0x000d571f: and al, 0x89; ret 0x4488; 
0x00053b1e: and al, 0x89; ret 0x4489; 
0x0003af69: and al, 0x89; ret 0x448b; 
0x000fbb12: and al, 0x89; ret 0x6c89; 
0x000b7971: and al, 0x89; ret 0x848b; 
0x0006ecdc: and al, 0x89; ret 0xafe8; 
0x00088fc1: and al, 0x89; ret 0xc889; 
0x0004e668: and al, 0x89; ret 0xd0f7; 
0x0006729e: and al, 0x89; ret 0xe283; 
0x000c8c76: and al, 0x89; ret 0xe889; 
0x000dc3c5: and al, 0x89; ret 0xf089; 
0x000dd3d4: and al, 0x89; ret 0xf589; 
0x00034879: and al, 0x89; ret 0xf889; 
0x0005c93d: and al, 0xc9; ret; 
0x0005cb13: and al, 0xd9; ret; 
0x0003a130: and al, 0xe8; ret 0xd15; 
0x00108808: and al, 0xe8; ret 0xf1c3; 
0x001004d8: and al, 0xe8; ret 0xf246; 
0x000f6448: and al, 0xe8; ret 0xf2d9; 
0x000f7388: and al, 0xe8; ret 0xf2fc; 
0x000f1e98: and al, 0xe8; ret 0xf358; 
0x000ee8d8: and al, 0xe8; ret 0xf362; 
0x000e68a8: and al, 0xe8; ret 0xf3d3; 
0x000d68d8: and al, 0xe8; ret 0xf4e2; 
0x000d2588: and al, 0xe8; ret 0xf524; 
0x000d0d88: and al, 0xe8; ret 0xf543; 
0x000c4148: and al, 0xe8; ret 0xf5ef; 
0x000c4f48: and al, 0xe8; ret 0xf5fb; 
0x000c23d8: and al, 0xe8; ret 0xf627; 
0x000bbc88: and al, 0xe8; ret 0xf6b1; 
0x000b5688: and al, 0xe8; ret 0xf6de; 
0x000a32e8: and al, 0xe8; ret 0xf816; 
0x000a3f98: and al, 0xe8; ret 0xf835; 
0x0008a5f8: and al, 0xe8; ret 0xf9c8; 
0x0007b368: and al, 0xe8; ret 0xfab0; 
0x00067758: and al, 0xe8; ret 0xfbb9; 
0x00064388: and al, 0xe8; ret 0xfc2a; 
0x0005d7c8: and al, 0xe8; ret 0xfc8e; 
0x00054118: and al, 0xe8; ret 0xfd0b; 
0x000445d8: and al, 0xe8; ret 0xfe05; 
0x00040c38: and al, 0xe8; ret 0xfe27; 
0x00037688: and al, 0xe8; ret 0xfef1; 
0x000a28d0: and al, 0xe8; ret 0xfffc; 
0x00039bd7: and al, 0xe8; ret; 
0x0004e651: and al, 0xfc; ret; 
0x000bab32: and al, 4; ret 0; 
0x0009395f: and al, 4; ret 1; 
0x00054569: and al, 4; ret 2; 
0x0008ca5f: and al, 4; ret 4; 
0x0002c3a8: and al, 4; ret; 
0x0007fad8: and al, 8; ret; 
0x0005d3f2: and byte ptr [eax + edx*8 - 0x77], dh; ret 0xc031; 
0x000f3d53: and byte ptr [ebp - 0x24], dh; ret; 
0x000dc516: and byte ptr [ebx + 0x292c2444], cl; ret 0x4c8b; 
0x0003a787: and byte ptr [ebx + 0x39282454], cl; ret 0x860f; 
0x0003ae10: and byte ptr [ebx + 0x39302454], cl; ret 0x860f; 
0x0007811d: and byte ptr [ecx + 0x1ae82404], cl; ret 0xfffa; 
0x00046aa8: and byte ptr [ecx + 0x39f129c1], cl; ret 0x840f; 
0x00063922: and byte ptr [ecx], al; ret 0x5489; 
0x0004ab8f: and byte ptr [ecx], al; ret 0xe889; 
0x000d735c: and byte ptr [ecx], al; ret 0xfa83; 
0x0010b5d6: and byte ptr [ecx], bh; ret 0x1776; 
0x0002e3d3: and byte ptr [ecx], bh; ret 0x830f; 
0x0010b5ed: and byte ptr [ecx], bh; ret 0xe977; 
0x0004531f: and byte ptr [ecx], cl; ret 0x3f74; 
0x0003009a: and byte ptr [ecx], cl; ret 0x5574; 
0x0004aadd: and byte ptr [ecx], dh; ret 0xcac1; 
0x0012c013: and byte ptr [edx], al; ret 0xe0a; 
0x000cf4f1: and byte ptr [esi + 0x39], ah; ret 0x840f; 
0x0005d20f: and byte ptr [esp + eax - 0x77], dh; ret 0xc031; 
0x000d7156: and dh, dh; ret 0x7406; 
0x00060b29: and dword ptr [edx], eax; ret; 
0x0005c898: and eax, 0x3f; ret; 
0x0004f7e8: and eax, 0x7f; ret; 
0x000315ac: and eax, 0x7fffffff; ret; 
0x000ee1cf: and eax, 0x810001d5; ret; 
0x000b23cf: and eax, 0x81000593; ret; 
0x000a2ecf: and eax, 0x81000688; ret; 
0x0007e2cf: and eax, 0x810008d4; ret; 
0x0005dbcf: and eax, 0x81000adb; ret; 
0x00057ccf: and eax, 0x81000b3a; ret; 
0x000283cf: and eax, 0x81000e33; ret; 
0x00050153: and eax, 0x90fffffe; ret; 
0x0004e6a8: and eax, 0xc00; ret; 
0x000474d2: and eax, 0xffffff; ret; 
0x0005c8bf: and eax, 1; ret; 
0x000f7235: and eax, 3; ret; 
0x000eaa20: and eax, 5; ret; 
0x000cb98a: and eax, edx; ret; 
0x0005574b: and ecx, dword ptr [ecx - 0x76ebdbbc]; ret 0xc889; 
0x0014794c: bound ecx, qword ptr [edx]; ret; 
0x0004e6e4: bswap eax; ret; 
0x0009e094: call 0x2929d95a; ret 0x48d; 
0x000a2267: call 0x292a1b2d; ret 0x48d; 
0x0003ea0c: call 0x8103f6dd; ret; 
0x0005660c: call 0x81057161; ret; 
0x0006740c: call 0x81067e53; ret; 
0x0007190c: call 0x810722ae; ret; 
0x0007210c: call 0x81072aa6; ret; 
0x0007e10c: call 0x8107e9e6; ret; 
0x0008370c: call 0x81083f90; ret; 
0x00087f0c: call 0x81088748; ret; 
0x0008950c: call 0x81089d32; ret; 
0x000abb0c: call 0x810ac10c; ret; 
0x000d6d0c: call 0x810d705a; ret; 
0x0002d35f: call 0x830c4765; ret 0x8b04; 
0x0004aeec: call 0x831ab379; ret 0x8301; 
0x0004ae5a: call 0x831bb2e7; ret 0x8301; 
0x000d8754: call 0x83ccbbe6; ret 0xf01; 
0x000f854a: call 0x840bccd8; ret 0x8b04; 
0x00071871: call 0x89cf2178; ret 0xeac1; 
0x000732d5: call 0x89cf3bdc; ret 0xeac1; 
0x00074d93: call 0x89cf569a; ret 0xeac1; 
0x000a770a: call 0x89d28011; ret 0xeac1; 
0x000a78e4: call 0x89d281eb; ret 0xeac1; 
0x0007187f: call 0x89d7218c; ret 0xeac1; 
0x000732e3: call 0x89d73bf0; ret 0xeac1; 
0x00074da1: call 0x89d756ae; ret 0xeac1; 
0x000a7718: call 0x89da8025; ret 0xeac1; 
0x000a78f2: call 0x89da81ff; ret 0xeac1; 
0x000a86c2: call 0x89da8fc9; ret 0xeac1; 
0x000a86fc: call 0x89da9003; ret 0xeac1; 
0x000a870a: call 0x89da9017; ret 0xeac1; 
0x000ea777: call 0x89deb07e; ret 0xeac1; 
0x000c21a4: call 0xe90c21a7; ret; 
0x00068691: call 0xf699fb97; ret 0xf40; 
0x00098039: call 0xf69df53f; ret 0xf40; 
0x00122223: call dword ptr [eax + 0x3d000180]; ret 0xfff6; 
0x00116de3: call dword ptr [esi]; ret; 
0x00124f83: call eax; ret; 
0x00118dda: call ebp; ret; 
0x00116ddb: call edx; ret; 
0x00044a58: cmp ah, byte ptr [ecx - 0x76912615]; ret 0xf231; 
0x00059ffd: cmp al, 0x5b; ret; 
0x00038043: cmp al, 0x83; ret 0x101; 
0x001033ea: cmp al, 0x89; ret 0xeac1; 
0x000a160f: cmp al, 0xe9; ret 0xfffd; 
0x000e1b35: cmp al, 1; ret 0x5489; 
0x00127abf: cmp al, 2; ret 0xe0a; 
0x000e184a: cmp al, byte ptr [ecx]; ret 0x1689; 
0x000440f6: cmp byte ptr [eax - 0x7cfea9b4], cl; ret 0x8301; 
0x000a160b: cmp byte ptr [ecx - 0x16c3dbac], cl; ret 0xfffd; 
0x000a1b44: cmp byte ptr [ecx], al; ret 0xc6; 
0x00104e56: cmp byte ptr [ecx], bh; ret 0x6677; 
0x000679ec: cmp byte ptr [ecx], cl; ret 0xcd75; 
0x0008f817: cmp dh, byte ptr [eax + edx - 0x7d]; ret 0x8801; 
0x000b3eaf: cmp dword ptr [edx + ebp*8 - 0x80], esi; ret 0x8801; 
0x001029b7: cmp eax, 0x8100008d; ret; 
0x000ebcb7: cmp eax, 0x810001fa; ret; 
0x000e74b7: cmp eax, 0x81000242; ret; 
0x000c53b7: cmp eax, 0x81000463; ret; 
0x0006b3b7: cmp eax, 0x81000a03; ret; 
0x000671b7: cmp eax, 0x81000a45; ret; 
0x0005ecb7: cmp eax, 0x81000aca; ret; 
0x00034ab7: cmp eax, 0x81000d6c; ret; 
0x000c5e1f: cmp eax, 0x89fff611; ret 0x45c6; 
0x001033e6: cmp ecx, dword ptr [ebx - 0x76c3dbbc]; ret 0xeac1; 
0x00008a68: cmpsb byte ptr [esi], byte ptr es:[edi]; ret 9; 
0x00060bdd: cmpxchg dword ptr [edx], ecx; ret; 
0x00120833: dec dword ptr [eax]; ret; 
0x00047dab: dec dword ptr [ebx + 0x10c2454]; ret 0x542b; 
0x000a9e82: dec dword ptr [ebx + 0x29182454]; ret 0x7c83; 
0x000aabbb: dec dword ptr [ebx - 0x16ebdbac]; ret 0xfffe; 
0x000406d9: dec dword ptr [ebx - 0x16efdbac]; ret 0xfffe; 
0x000e35b8: dec dword ptr [ebx - 0x76cfdbbc]; ret 0xbce8; 
0x000e2dc6: dec dword ptr [ebx - 0x76dfdbbc]; ret 0xaee8; 
0x0007cd14: dec dword ptr [ebx - 0x7c8fdbac]; ret 0x8301; 
0x0007c35d: dec dword ptr [ebx - 0x7c8fdbac]; ret 0x8901; 
0x000b1a81: dec dword ptr [ebx - 0x7c97dbac]; ret 0x8301; 
0x00091133: dec dword ptr [ebx - 0x7cc7dbac]; ret 0x8901; 
0x0009b8c1: dec dword ptr [ebx - 0x7ce3dbbc]; ret 0xc701; 
0x000ba63e: dec dword ptr [ecx + 0x19e82404]; ret 0xfff6; 
0x000d5b54: dec dword ptr [ecx + 0x21d2f7ca]; ret 0xcd89; 
0x000488af: dec dword ptr [ecx - 0x1717dbfc]; ret 0xfffd; 
0x000487e4: dec dword ptr [ecx - 0x4c17dbfc]; ret; 
0x000b880f: dec dword ptr [ecx - 0x5717dbcc]; ret; 
0x00100006: dec dword ptr [ecx - 0x76027617]; ret 0x1ce9; 
0x000f8eee: dec dword ptr [ecx - 0x76e3dbbc]; ret 0xc085; 
0x00088911: dec dword ptr [ecx - 0x7917dbfc]; ret 0xfff9; 
0x0003d122: dec dword ptr [ecx - 0x7cfbdb94]; ret 0x2901; 
0x00098350: dec dword ptr [ecx - 0x817dbfc]; ret; 
0x000519bf: dec dword ptr [ecx - 0x9efdb84]; ret 0xf01; 
0x00060ec6: dec dword ptr [ecx]; ret 0x5489; 
0x000fd6aa: dec dword ptr [ecx]; ret 0x850f; 
0x0010df07: dec dword ptr [ecx]; ret; 
0x00060b55: dec dword ptr [edx]; ret; 
0x0012082b: dec eax; ret 0; 
0x00060b6d: dec eax; ret; 
0x00107fcf: dec ebp; ret; 
0x001190ea: dec ebx; ret 0x51a3; 
0x00118ed6: dec ebx; ret 0xbe30; 
0x000f4e3b: dec ebx; ret 5; 
0x001304b1: dec ebx; ret; 
0x0010b717: dec ecx; ret; 
0x000d95b2: dec edx; ret; 
0x00121830: dec esi; ret 0xfff4; 
0x000983fe: dec esi; ret; 
0x000d7120: dec esp; ret 0xfff4; 
0x0012083c: dec esp; ret; 
0x00067730: div byte ptr [eax + edx - 0x7d]; ret 0x8904; 
0x0002d16e: div byte ptr [eax + esi*2 - 0x77]; ret 0x88b; 
0x00053880: div byte ptr [ebx - 0x7d]; ret 0x8301; 
0x0002d601: div byte ptr [esi - 0x77]; ret 0x88b; 
0x0007fad6: div dword ptr [esp + 8]; ret; 
0x000f8452: fidivr dword ptr [ecx]; ret 0xf372; 
0x00062ba8: fisttp word ptr [ecx - 0x7cff728c]; ret 0x8301; 
0x0005c7be: fld dword ptr [ebp + 0x5b0278c9]; ret; 
0x00044a5b: fldcw word ptr [esi - 0x77]; ret 0xf231; 
0x000a7917: fmul dword ptr [ecx]; ret 0xc283; 
0x0012afd1: fmul qword ptr [edx]; ret; 
0x0013c622: idiv bh; ret; 
0x0007fae5: idiv dword ptr [esp + 8]; ret; 
0x0013ed56: idiv edi; ret; 
0x000be3b2: imul cl; ret 0xfffe; 
0x000f4daf: imul eax, dword ptr [ecx], 0xd2c38100; ret 5; 
0x0012e949: imul eax, dword ptr [edx], 0xa; ret; 
0x000e4da9: imul eax, dword ptr [edx], 0xd8c38100; ret 6; 
0x00044b2f: imul ecx, dword ptr [eax + eax], -0x7f; ret; 
0x00064dc2: imul ecx, dword ptr [edx], 0xbfc38100; ret 0xe; 
0x000e2720: in al, -0x77; ret 0x7c8b; 
0x000b9a90: in al, dx; ret 0xfff6; 
0x0005ac70: in al, dx; ret 0xfffc; 
0x00037a44: in al, dx; ret; 
0x000e88e0: inc dword ptr [0x1c0]; ret; 
0x0012463b: inc dword ptr [eax + 0x7200027f]; ret 0xfffc; 
0x0011fafb: inc dword ptr [eax - 0x3bffff9a]; ret; 
0x0011faab: inc dword ptr [eax - 0x48ffff9b]; ret 0xfff0; 
0x000474d5: inc dword ptr [eax]; ret; 
0x000f82b2: inc dword ptr [ebp - 0x14298a40]; ret; 
0x000f8134: inc dword ptr [ebp - 0x164a8a40]; ret; 
0x00037dd3: inc dword ptr [ebp - 0x17198a40]; ret; 
0x00074ea3: inc dword ptr [ebp - 0x172a860a]; ret; 
0x00042bf3: inc dword ptr [ebp - 0x17a78b40]; ret; 
0x000b6aa3: inc dword ptr [ebp - 0x76548b40]; ret 0x748b; 
0x00036ae2: inc dword ptr [ebp - 0x76ab8b37]; ret 0x9eb; 
0x0008920f: inc dword ptr [ebp - 0x76f68b40]; ret 0xf089; 
0x000adbaf: inc dword ptr [ebx - 0x7af00008]; ret 0xfffc; 
0x000f8068: inc dword ptr [ebx - 0x7af0e01b]; ret 0xfffd; 
0x00116ce7: inc dword ptr [edi]; ret 0xfff5; 
0x00060b75: inc dword ptr [edx]; ret; 
0x00026d8c: inc eax; ret 0xffff; 
0x00026c8c: inc eax; ret; 
0x000c4d41: inc ebp; ret; 
0x000ba6f9: inc ebx; ret; 
0x00125296: inc ecx; ret; 
0x00034e3f: inc edi; ret 0x11; 
0x0012b1d5: inc edi; ret; 
0x00116cdc: inc edx; ret 0xfff5; 
0x00098f6a: inc edx; ret 0xfff8; 
0x00124630: inc edx; ret 0xfffc; 
0x0010888a: inc edx; ret; 
0x000b7656: inc esi; ret 0xfff6; 
0x0012c2db: inc esi; ret; 
0x0003e812: inc esp; ret 0x8b08; 
0x00124f54: inc esp; ret 2; 
0x000e4e42: inc esp; ret 6; 
0x00006228: inc esp; ret 9; 
0x000b9a38: inc esp; ret; 
0x000e4d1a: insb byte ptr es:[edi], dx; ret; 
0x0010b64f: insd dword ptr es:[edi], dx; ret; 
0x000286e5: int 0x80; ret; 
0x000a3f87: int 0x83; ret 0xe901; 
0x0010a078: jecxz 0x10a083; ret; 
0x000b46a2: jecxz 0xb46ad; ret; 
0x000c8e3d: jecxz 0xc8e48; ret; 
0x000d8595: jecxz 0xd85a0; ret; 
0x000eddd4: jecxz 0xedd59; ret 0x8958; 
0x0012599a: jno 0x1259a6; ret; 
0x0013049e: jno 0x1304aa; ret; 
0x0013bad6: jno 0x13bae2; ret; 
0x0013dcf2: jno 0x13dcfe; ret; 
0x00099dd3: jno 0x99d5e; ret 0xe283; 
0x0012b1ce: jnp 0x12b1da; ret; 
0x000db8ed: jns 0x115dd3f; ret 0x5489; 
0x0002d170: jo 0x2d0fb; ret 0x88b; 
0x0007c361: jo 0x7c2e6; ret 0x8901; 
0x0007c3a5: jo 0x7c32a; ret 0x8901; 
0x0007c558: jo 0x7c4dd; ret 0x8901; 
0x0007c67e: jo 0x7c603; ret 0x8901; 
0x0007c68e: jo 0x7c613; ret 0x8901; 
0x0007c6a8: jo 0x7c62d; ret 0x8901; 
0x0007c790: jo 0x7c715; ret 0x8901; 
0x0007c93e: jo 0x7c8c3; ret 0x8901; 
0x0007c959: jo 0x7c8de; ret 0x8901; 
0x0007c98f: jo 0x7c914; ret 0x8901; 
0x0007ca82: jo 0x7ca07; ret 0x8901; 
0x0007cc0e: jo 0x7cb93; ret 0x8901; 
0x0007cc2d: jo 0x7cbb2; ret 0x8901; 
0x0007cd18: jo 0x7cc9d; ret 0x8301; 
0x0007cd2e: jo 0x7ccb3; ret 0x8301; 
0x0007cd44: jo 0x7ccc9; ret 0x8301; 
0x0012e248: jp 0x12e254; ret; 
0x0014bd5f: jp 0x14bd6b; ret; 
0x00120801: lcall 0:0xc1bcfff2; ret; 
0x00079862: lcall 0x8904:0xe983fffa; ret 0xe283; 
0x0012288b: lcall ptr [eax - 0xffffe52]; ret 0xfff7; 
0x0010df1b: lcall ptr [ebp + 0x34ffeec2]; ret; 
0x0010df13: lcall ptr [ebp + 0x3effeec2]; ret; 
0x00116d5f: lcall ptr [ebx + 0x7afff5bf]; ret 0xfff5; 
0x000e0178: lea eax, dword ptr [ecx + 0xe57c]; ret; 
0x000e8143: lea eax, dword ptr [ecx - 0x359c0]; ret; 
0x000dfdab: lea eax, dword ptr [ecx - 0x3620d]; ret; 
0x000dfdb2: lea eax, dword ptr [ecx - 0x36214]; ret; 
0x000dfdc3: lea eax, dword ptr [ecx - 0x3621b]; ret; 
0x000dfdbc: lea eax, dword ptr [ecx - 0x36223]; ret; 
0x000d11d5: lea eax, dword ptr [ecx - 0x3789a]; ret; 
0x000d11af: lea eax, dword ptr [ecx - 0x378a3]; ret; 
0x00037eb3: lea eax, dword ptr [ecx - 0x43b8c]; ret; 
0x00037eba: lea eax, dword ptr [ecx - 0x43ba4]; ret; 
0x000f517c: lea ecx, dword ptr [edx - 0x7d000000]; ret 0x8901; 
0x0012f055: lea ecx, dword ptr [edx]; ret; 
0x000f3d0c: lea esi, dword ptr [esi]; ret; 
0x0004b9c4: ljmp 0x11a:0xcac1f201; ret 0xc9c1; 
0x0010335e: ljmp 0x892c:0x24548818; ret 0xeac1; 
0x00103367: ljmp 0x892d:0x24548810; ret 0xc166; 
0x00103382: ljmp 0x8930:0x24548818; ret 0xeac1; 
0x0010338b: ljmp 0x8931:0x24548810; ret 0xc166; 
0x001033a6: ljmp 0x8934:0x24548818; ret 0xeac1; 
0x001033af: ljmp 0x8935:0x24548810; ret 0xc166; 
0x001033ca: ljmp 0x8938:0x24548818; ret 0xeac1; 
0x001033d3: ljmp 0x8939:0x24548810; ret 0xc166; 
0x001033ee: ljmp 0x893c:0x24548818; ret 0xeac1; 
0x001033f7: ljmp 0x893d:0x24548810; ret 0xc166; 
0x00103416: ljmp 0x8940:0x24548818; ret 0xeac1; 
0x0010341f: ljmp 0x8941:0x24548810; ret 0xc166; 
0x0011fabb: ljmp ptr [eax - 0xdffff9b]; ret 0xfff0; 
0x00122be3: ljmp ptr [eax]; ret; 
0x000ce16b: ljmp ptr [ecx]; ret 0x8966; 
0x00116d27: ljmp ptr [edi + 0x7afff5c1]; ret 0xfff5; 
0x00060af8: lock add dword ptr [edx], eax; ret; 
0x00060c00: lock add dword ptr [esp - 4], 0; ret; 
0x00060b28: lock and dword ptr [edx], eax; ret; 
0x00060bdc: lock cmpxchg dword ptr [edx], ecx; ret; 
0x00060ec5: lock dec dword ptr [ecx]; ret 0x5489; 
0x00060b54: lock dec dword ptr [edx]; ret; 
0x0011fafa: lock inc dword ptr [eax - 0x3bffff9a]; ret; 
0x0011faaa: lock inc dword ptr [eax - 0x48ffff9b]; ret 0xfff0; 
0x00060b74: lock inc dword ptr [edx]; ret; 
0x00060b98: lock or dword ptr [edx], eax; ret; 
0x00036910: lodsb al, byte ptr [esi]; ret 0xfffb; 
0x000a78c0: lodsb al, byte ptr [esi]; ret; 
0x0004ac66: loope 0x4ac3a; ret; 
0x0004b39d: loope 0x4b371; ret; 
0x000768af: loope 0x76869; ret; 
0x00076aaf: loope 0x76a69; ret 1; 
0x0009243f: loope 0x923f9; ret; 
0x000cb93f: loope 0xcb8f9; ret 0; 
0x00101954: mov al, byte ptr [0x8100009d]; ret; 
0x0008b254: mov al, byte ptr [0x81000804]; ret; 
0x0002f754: mov al, byte ptr [0x81000dbf]; ret; 
0x0007a1fc: mov al, byte ptr [0x89000000]; ret 0xf229; 
0x00056c7c: mov al, byte ptr [0x89fffcea]; ret 0xc085; 
0x00077039: mov al, byte ptr [0x8fe8000d]; ret 0xfffa; 
0x000283bf: mov bh, 0; ret; 
0x000474ed: mov bh, 0xc0; ret; 
0x000b67ef: mov bl, 0x1c; ret 0; 
0x000e8152: mov byte ptr [0x81000235], al; ret; 
0x000dad52: mov byte ptr [0x81000309], al; ret; 
0x000d6952: mov byte ptr [0x8100034d], al; ret; 
0x000bd452: mov byte ptr [0x810004e2], al; ret; 
0x0009c952: mov byte ptr [0x810006ed], al; ret; 
0x0008e352: mov byte ptr [0x810007d3], al; ret; 
0x00059b52: mov byte ptr [0x81000b1b], al; ret; 
0x00048b52: mov byte ptr [0x81000c2b], al; ret; 
0x00043752: mov byte ptr [0x81000c7f], al; ret; 
0x00036452: mov byte ptr [0x81000d52], al; ret; 
0x000d234a: mov byte ptr [0x891c708b], al; ret 0xf089; 
0x000e894d: mov byte ptr [eax + 1], dl; ret; 
0x000e8970: mov byte ptr [eax + 3], dl; ret; 
0x000bf056: mov byte ptr [eax + eax], 0x81; ret; 
0x000b5ad8: mov byte ptr [ecx], 0x80; ret 0x8801; 
0x000cc3c5: mov byte ptr [ecx], 0x83; ret 0x3960; 
0x000f2e09: mov byte ptr [ecx], 0x83; ret 0x8304; 
0x0002ee0f: mov byte ptr [ecx], 0x83; ret 0x8801; 
0x00082278: mov byte ptr [ecx], 0x83; ret 0x8b0c; 
0x0004e9e9: mov byte ptr [ecx], 0x89; ret 0xb7eb; 
0x0004ea34: mov byte ptr [ecx], 0x89; ret 0xbaeb; 
0x0007a331: mov byte ptr [ecx], 0x89; ret 0xfa80; 
0x0013e0d7: mov byte ptr [edx], cl; ret; 
0x000f8138: mov ch, 0xe9; ret; 
0x000337f1: mov cl, 0x83; ret 0xf01; 
0x00060bde: mov cl, 0xa; ret; 
0x0003bc58: mov dh, 0x83; ret 0x8901; 
0x000e3308: mov dh, 0x83; ret 0xeb01; 
0x000d87c0: mov dh, 0x83; ret 0xf01; 
0x000812d2: mov dh, 0x84; ret; 
0x0005a27d: mov dh, 0x89; ret 0xe2c1; 
0x0002bc31: mov dh, 0xc0; ret; 
0x000e8993: mov dh, 0xc1; ret; 
0x000eb9c8: mov dh, byte ptr [edx + eax + 0x5b]; ret; 
0x0004ea19: mov dl, 0x89; ret 0x748d; 
0x000fd551: mov dword ptr [0x810000e1], eax; ret; 
0x000eae51: mov dword ptr [0x81000208], eax; ret; 
0x0008b151: mov dword ptr [0x81000805], eax; ret; 
0x00076251: mov dword ptr [0x81000954], eax; ret; 
0x0005d551: mov dword ptr [0x81000ae1], eax; ret; 
0x0002a151: mov dword ptr [0x81000e15], eax; ret; 
0x000f3449: mov dword ptr [0x89fff30f], eax; ret 0x71e9; 
0x0006b9f9: mov dword ptr [0xe9fffb91], eax; ret; 
0x0010157c: mov dword ptr [eax + 0x18], edx; ret; 
0x000db545: mov dword ptr [eax + 0x1b8], edx; ret; 
0x000db561: mov dword ptr [eax + 0x1bc], edx; ret; 
